PH,AMMONIA,TEMP,DO,TURBIDITY
5.7,0.01,23.2,11.6,31.7
5.1,0.094,23.41,10.5,18.8
5.5,0.06,23.63,10.3,23.2
5.2,0.018,23.64,9.4,26.7
5.2,0.038,23.81,8.8,19.5
5.0,0.039,23.85,7.3,18.8
5.3,0.057,24.1,11.5,32.0
5.9,0.056,24.21,9.6,20.5
5.8,0.065,24.31,10.9,30.3
5.0,0.006,24.35,6.0,31.9
5.4,0.013,24.6,9.5,30.2
5.4,0.061,24.67,7.6,29.8
5.0,0.013,24.69,6.8,33.2
5.8,0.053,24.7,6.1,29.1
6.0,0.048,25.13,7.9,21.1
5.0,0.092,25.15,6.8,29.3
5.6,0.089,25.38,12.0,26.7
5.5,0.008,25.82,10.3,24.6
5.3,0.089,25.95,8.8,22.4
5.4,0.045,25.86,6.7,22.1
5.0,0.091,25.78,11.2,29.9
5.4,0.024,25.36,11.2,23.6
5.7,0.054,24.99,6.1,29.4
5.8,0.05,24.94,9.3,20.6
5.2,0.05,24.73,7.2,21.5
5.3,0.056,24.53,11.5,32.8
5.5,0.055,24.43,6.5,34.4
5.1,0.003,24.38,7.0,34.4
5.7,0.02,24.24,6.6,31.7
5.7,0.076,24.18,8.8,31.8
6.0,0.003,24.12,8.8,19.7
6.0,0.065,24.1,7.4,34.0
6.0,0.092,24.07,9.1,18.7
5.3,0.015,24.06,7.7,29.5
6.0,0.051,23.89,9.7,27.3
5.9,0.061,23.86,6.0,27.1
5.4,0.028,23.79,8.9,33.6
5.0,0.017,23.71,9.3,26.1
5.1,0.09,23.4,10.8,26.0
5.4,0.083,23.24,8.0,25.9
5.2,0.068,23.16,8.9,19.2
5.2,0.061,23.14,9.6,28.1
5.3,0.092,22.9,11.6,26.7
5.3,0.01,22.69,8.9,22.6
5.4,0.012,22.67,10.0,21.5
5.6,0.045,22.57,9.9,24.2
5.2,0.046,22.44,8.8,19.7
5.7,0.098,22.41,12.0,32.4
5.9,0.049,22.67,10.4,32.8
5.6,0.022,22.64,8.3,29.2
5.8,0.071,22.5,6.3,32.0
5.4,0.058,22.47,6.4,25.0
5.3,0.018,22.07,10.1,20.6
5.0,0.06,21.88,11.2,23.6
5.5,0.022,21.85,6.1,31.9
5.5,0.048,21.83,7.2,21.4
5.5,0.052,21.59,9.7,21.3
5.8,0.081,21.51,9.5,24.2
5.0,0.007,21.46,12.0,30.7
6.0,0.07,21.38,7.0,24.3
5.3,0.055,21.27,11.4,21.3
5.1,0.045,21.24,9.8,28.3
5.3,0.023,21.17,9.4,20.6
6.0,0.05,21.14,6.6,29.2
5.6,0.044,21.32,9.4,29.7
5.8,0.089,21.7,6.2,27.1
5.9,0.006,21.72,7.6,25.3
6.0,0.021,21.78,8.4,32.0
5.8,0.036,21.94,9.8,19.5
5.2,0.039,22.03,8.5,24.1
6.0,0.061,22.14,6.2,26.7
5.0,0.05,22.21,8.5,33.6
5.8,0.087,22.27,9.8,32.4
5.1,0.1,22.52,11.7,20.5
