pH,Ammonia,Temp,Turbidity,pH_Status,Ammonia_Status,Temp_Status,Turbidity_Status,Water Pump,Heater
5.7,0.01,23.2,31.7,Low,High,Low,Low,ON,ON
5.1,0.094,23.41,18.8,Low,Low,Low,High,ON,ON
5.5,0.06,23.63,23.2,Low,Low,Low,Low,ON,ON
5.2,0.018,23.64,26.7,Low,High,Low,Low,ON,ON
5.2,0.038,23.81,19.5,Low,High,Low,High,OFF,ON
5.0,0.039,23.85,18.8,Low,High,Low,High,OFF,ON
5.3,0.057,24.1,32.0,Low,Low,Low,Low,ON,ON
5.9,0.056,24.21,20.5,Low,Low,Low,Low,ON,ON
5.8,0.065,24.31,30.3,Low,Low,Low,Low,ON,ON
5.0,0.006,24.35,31.9,Low,High,Low,Low,ON,ON
5.4,0.013,24.6,30.2,Low,High,Low,Low,ON,ON
5.4,0.061,24.67,29.8,Low,Low,Low,Low,ON,ON
5.0,0.013,24.69,33.2,Low,High,Low,Low,ON,ON
5.8,0.053,24.7,29.1,Low,Low,Low,Low,ON,ON
6.0,0.048,25.13,21.1,Low,High,Low,Low,ON,ON
5.0,0.092,25.15,29.3,Low,Low,Low,Low,ON,ON
5.6,0.089,25.38,26.7,Low,Low,Low,Low,ON,ON
5.5,0.008,25.82,24.6,Low,High,Low,Low,ON,ON
5.3,0.089,25.95,22.4,Low,Low,Low,Low,ON,ON
5.4,0.045,25.86,22.1,Low,High,Low,Low,ON,ON
5.0,0.091,25.78,29.9,Low,Low,Low,Low,ON,ON
5.4,0.024,25.36,23.6,Low,High,Low,Low,ON,ON
5.7,0.054,24.99,29.4,Low,Low,Low,Low,ON,ON
5.8,0.05,24.94,20.6,Low,High,Low,Low,ON,ON
5.2,0.05,24.73,21.5,Low,High,Low,Low,ON,ON
5.3,0.056,24.53,32.8,Low,Low,Low,Low,ON,ON
5.5,0.055,24.43,34.4,Low,Low,Low,Low,ON,ON
5.1,0.003,24.38,34.4,Low,High,Low,Low,ON,ON
5.7,0.02,24.24,31.7,Low,High,Low,Low,ON,ON
5.7,0.076,24.18,31.8,Low,Low,Low,Low,ON,ON
6.0,0.003,24.12,19.7,Low,High,Low,High,OFF,ON
6.0,0.065,24.1,34.0,Low,Low,Low,Low,ON,ON
6.0,0.092,24.07,18.7,Low,Low,Low,High,ON,ON
5.3,0.015,24.06,29.5,Low,High,Low,Low,ON,ON
6.0,0.051,23.89,27.3,Low,Low,Low,Low,ON,ON
5.9,0.061,23.86,27.1,Low,Low,Low,Low,ON,ON
5.4,0.028,23.79,33.6,Low,High,Low,Low,ON,ON
5.0,0.017,23.71,26.1,Low,High,Low,Low,ON,ON
5.1,0.09,23.4,26.0,Low,Low,Low,Low,ON,ON
5.4,0.083,23.24,25.9,Low,Low,Low,Low,ON,ON
5.2,0.068,23.16,19.2,Low,Low,Low,High,ON,ON
5.2,0.061,23.14,28.1,Low,Low,Low,Low,ON,ON
5.3,0.092,22.9,26.7,Low,Low,Low,Low,ON,ON
5.3,0.01,22.69,22.6,Low,High,Low,Low,ON,ON
5.4,0.012,22.67,21.5,Low,High,Low,Low,ON,ON
5.6,0.045,22.57,24.2,Low,High,Low,Low,ON,ON
5.2,0.046,22.44,19.7,Low,High,Low,High,OFF,ON
5.7,0.098,22.41,32.4,Low,Low,Low,Low,ON,ON
5.9,0.049,22.67,32.8,Low,High,Low,Low,ON,ON
5.6,0.022,22.64,29.2,Low,High,Low,Low,ON,ON
5.8,0.071,22.5,32.0,Low,Low,Low,Low,ON,ON
