## SAFE Scenarios (20 examples)

| pH | Ammonia | Temp | Turbidity | pH_Status | Ammonia_Status | Temp_Status | Turbidity_Status | Water_Pump | Heater |
|---:|---:|---:|---:|---:|---:|---:|---:|---|---|
| 5.2 | 0.0180 | 23.6 | 27 | 0 | 1 | 0 | 0 | ON | ON |
| 5.2 | 0.0380 | 23.8 | 20 | 0 | 1 | 0 | 1 | OFF | ON |
| 5.9 | 0.0560 | 24.2 | 20 | 0 | 0 | 0 | 0 | ON | ON |
| 5.4 | 0.0130 | 24.6 | 30 | 0 | 1 | 0 | 0 | ON | ON |
| 5.4 | 0.0610 | 24.7 | 30 | 0 | 0 | 0 | 0 | ON | ON |
| 6.0 | 0.0480 | 25.1 | 21 | 0 | 1 | 0 | 0 | ON | ON |
| 5.3 | 0.0890 | 25.9 | 22 | 0 | 0 | 0 | 0 | ON | ON |
| 5.8 | 0.0500 | 24.9 | 21 | 0 | 1 | 0 | 0 | ON | ON |
| 5.7 | 0.0760 | 24.2 | 32 | 0 | 0 | 0 | 0 | ON | ON |
| 6.0 | 0.0030 | 24.1 | 20 | 0 | 1 | 0 | 1 | OFF | ON |
| 6.0 | 0.0920 | 24.1 | 19 | 0 | 0 | 0 | 1 | ON | ON |
| 5.3 | 0.0150 | 24.1 | 30 | 0 | 1 | 0 | 0 | ON | ON |
| 6.0 | 0.0510 | 23.9 | 27 | 0 | 0 | 0 | 0 | ON | ON |
| 5.4 | 0.0280 | 23.8 | 34 | 0 | 1 | 0 | 0 | ON | ON |
| 5.0 | 0.0170 | 23.7 | 26 | 0 | 1 | 0 | 0 | ON | ON |
| 5.4 | 0.0830 | 23.2 | 26 | 0 | 0 | 0 | 0 | ON | ON |
| 5.2 | 0.0680 | 23.2 | 19 | 0 | 0 | 0 | 1 | ON | ON |
| 5.2 | 0.0610 | 23.1 | 28 | 0 | 0 | 0 | 0 | ON | ON |
| 5.3 | 0.0100 | 22.7 | 23 | 0 | 1 | 0 | 0 | ON | ON |
| 5.4 | 0.0120 | 22.7 | 22 | 0 | 1 | 0 | 0 | ON | ON |

## WARNING Scenarios (20 examples)

| pH | Ammonia | Temp | Turbidity | pH_Status | Ammonia_Status | Temp_Status | Turbidity_Status | Water_Pump | Heater |
|---:|---:|---:|---:|---:|---:|---:|---:|---|---|
| 5.0 | 0.0060 | 24.4 | 32 | 0 | 1 | 0 | 0 | ON | ON |
| 5.8 | 0.0530 | 24.7 | 29 | 0 | 0 | 0 | 0 | ON | ON |
| 5.7 | 0.0540 | 25.0 | 29 | 0 | 0 | 0 | 0 | ON | ON |
| 5.9 | 0.0610 | 23.9 | 27 | 0 | 0 | 0 | 0 | ON | ON |
| 5.8 | 0.0710 | 22.5 | 32 | 0 | 0 | 0 | 0 | ON | ON |
| 5.4 | 0.0580 | 22.5 | 25 | 0 | 0 | 0 | 0 | ON | ON |
| 5.5 | 0.0220 | 21.9 | 32 | 0 | 1 | 0 | 0 | ON | ON |
| 5.8 | 0.0890 | 21.7 | 27 | 0 | 0 | 0 | 0 | ON | ON |
| 6.0 | 0.0610 | 22.1 | 27 | 0 | 0 | 0 | 0 | ON | ON |
| 5.8 | 0.0560 | 24.0 | 28 | 0 | 0 | 0 | 0 | ON | ON |
| 5.8 | 0.0540 | 25.8 | 30 | 0 | 0 | 0 | 0 | ON | ON |
| 5.1 | 0.0960 | 24.6 | 20 | 0 | 0 | 0 | 1 | ON | ON |
| 5.5 | 0.0370 | 23.3 | 19 | 0 | 1 | 0 | 1 | OFF | ON |
