## SAFE Scenarios (20 examples)

| pH | Ammonia | Temp | Turbidity | DO | Water_Class | Pred_DO |
|---:|---:|---:|---:|---:|---|---:|
| 5.2 | 0.0180 | 23.6 | 27 | 9.4 | Excellent | 9.7 |
| 5.2 | 0.0380 | 23.8 | 20 | 8.8 | Excellent | 8.7 |
| 5.9 | 0.0560 | 24.2 | 20 | 9.6 | Excellent | 9.9 |
| 5.4 | 0.0130 | 24.6 | 30 | 9.5 | Excellent | 9.6 |
| 5.4 | 0.0610 | 24.7 | 30 | 7.6 | Good | 7.8 |
| 6.0 | 0.0480 | 25.1 | 21 | 7.9 | Good | 8.1 |
| 5.3 | 0.0890 | 25.9 | 22 | 8.8 | Excellent | 8.7 |
| 5.8 | 0.0500 | 24.9 | 21 | 9.3 | Excellent | 9.3 |
| 5.7 | 0.0760 | 24.2 | 32 | 8.8 | Excellent | 8.7 |
| 6.0 | 0.0030 | 24.1 | 20 | 8.8 | Excellent | 8.7 |
| 6.0 | 0.0920 | 24.1 | 19 | 9.1 | Excellent | 9.4 |
| 5.3 | 0.0150 | 24.1 | 30 | 7.7 | Good | 7.8 |
| 6.0 | 0.0510 | 23.9 | 27 | 9.7 | Excellent | 9.2 |
| 5.4 | 0.0280 | 23.8 | 34 | 8.9 | Excellent | 9.3 |
| 5.0 | 0.0170 | 23.7 | 26 | 9.3 | Excellent | 9.3 |
| 5.4 | 0.0830 | 23.2 | 26 | 8.0 | Good | 7.5 |
| 5.2 | 0.0680 | 23.2 | 19 | 8.9 | Excellent | 9.3 |
| 5.2 | 0.0610 | 23.1 | 28 | 9.6 | Excellent | 9.9 |
| 5.3 | 0.0100 | 22.7 | 23 | 8.9 | Excellent | 9.3 |
| 5.4 | 0.0120 | 22.7 | 22 | 10.0 | Excellent | 10.2 |

## WARNING Scenarios (20 examples)

| pH | Ammonia | Temp | Turbidity | DO | Water_Class | Pred_DO |
|---:|---:|---:|---:|---:|---|---:|
| 5.0 | 0.0060 | 24.4 | 32 | 6.0 | Good | 5.8 |
| 5.8 | 0.0530 | 24.7 | 29 | 6.1 | Good | 6.1 |
| 5.7 | 0.0540 | 25.0 | 29 | 6.1 | Good | 6.1 |
| 5.9 | 0.0610 | 23.9 | 27 | 6.0 | Good | 5.8 |
| 5.8 | 0.0710 | 22.5 | 32 | 6.3 | Good | 6.1 |
| 5.4 | 0.0580 | 22.5 | 25 | 6.4 | Good | 6.1 |
| 5.5 | 0.0220 | 21.9 | 32 | 6.1 | Good | 6.1 |
| 5.8 | 0.0890 | 21.7 | 27 | 6.2 | Good | 6.1 |
| 6.0 | 0.0610 | 22.1 | 27 | 6.2 | Good | 6.1 |
| 5.8 | 0.0560 | 24.0 | 28 | 6.4 | Good | 6.1 |
| 5.8 | 0.0540 | 25.8 | 30 | 6.2 | Good | 6.1 |
| 5.1 | 0.0960 | 24.6 | 20 | 6.2 | Good | 6.1 |
| 5.5 | 0.0370 | 23.3 | 19 | 6.3 | Good | 6.1 |
| 5.3 | 0.0550 | 21.5 | 34 | 6.2 | Good | 6.1 |
| 5.6 | 0.0960 | 24.3 | 22 | 6.0 | Good | 5.8 |
| 5.6 | 0.0920 | 26.1 | 22 | 6.1 | Good | 6.1 |
| 5.4 | 0.0730 | 25.8 | 22 | 6.0 | Good | 5.8 |
| 5.1 | 0.0570 | 25.4 | 26 | 6.0 | Good | 5.8 |
| 5.2 | 0.0420 | 24.8 | 23 | 6.2 | Good | 6.1 |
| 5.0 | 0.0410 | 25.5 | 19 | 6.4 | Good | 6.1 |

## DANGER Scenarios (20 examples)

| pH | Ammonia | Temp | Turbidity | DO | Water_Class | Pred_DO |
|---:|---:|---:|---:|---:|---|---:|
| 6.6 | 0.0480 | 21.7 | 27 | 3.0 | Poor | 3.2 |
| 6.6 | 0.0510 | 21.5 | 29 | 3.4 | Poor | 3.6 |
| 6.1 | 0.0270 | 22.3 | 19 | 3.1 | Poor | 3.2 |
| 7.2 | 0.0740 | 23.4 | 29 | 3.0 | Poor | 3.2 |
| 6.8 | 0.0480 | 24.9 | 28 | 3.3 | Poor | 3.3 |
| 6.2 | 0.0990 | 23.9 | 24 | 3.3 | Poor | 3.3 |
| 7.0 | 0.0840 | 23.4 | 30 | 3.2 | Poor | 3.6 |
| 6.8 | 0.0200 | 23.2 | 34 | 3.3 | Poor | 3.3 |
| 6.4 | 0.0990 | 22.8 | 22 | 3.1 | Poor | 3.2 |
| 7.0 | 0.0980 | 22.7 | 21 | 3.3 | Poor | 3.3 |
| 7.1 | 0.0160 | 21.9 | 22 | 3.1 | Poor | 3.2 |
| 6.8 | 0.0330 | 21.2 | 21 | 3.3 | Poor | 3.3 |
| 6.3 | 0.0690 | 21.1 | 33 | 3.3 | Poor | 3.3 |
| 6.5 | 0.0550 | 22.1 | 30 | 3.3 | Poor | 3.3 |
| 6.4 | 0.0110 | 22.3 | 24 | 3.4 | Poor | 3.6 |
| 6.9 | 0.0370 | 24.3 | 30 | 3.0 | Poor | 3.2 |
| 6.9 | 0.0820 | 24.9 | 20 | 3.2 | Poor | 3.6 |
| 6.2 | 0.0160 | 21.6 | 30 | 3.0 | Poor | 3.2 |
| 6.9 | 0.0400 | 22.5 | 32 | 3.2 | Poor | 3.6 |
| 6.9 | 0.0930 | 22.6 | 26 | 3.0 | Poor | 3.2 |
